"Carimbo de data/hora","Age","Gender","Level of musical knowledge","What is your field of work or study?","Did you imagine a story while listening?","It was easy to imagine a story","I imagined a vivid story","I imagined a story with clear setting, characters, events","I imagined a story while listening, not after","If you imagined a story while listening describe the story in detail.
If not, why didn't you imagine a story?","The music sounded familiar","I found the music enjoyable","In case you imagined a story:
The story imaged matches the one used to compose the music","The music matches the story's emotional tone","The music reflects the story's pacing","Story events are represented musically","The overall musical structure follows the narrative arc","Additional comments"
"2025/02/05 12:09:35 da manhã GMT","28","Female","Basic (some informal experience or less than 2 years of training)","","Yes","4","6","5","6","I imagined some people building a city and then there were these animals that attacked and destroyed the city. The people kept building it with the same energy and optimism, but they were attacked again. There was no edding in the story ","5","6","2","4","5","5","5",""
"2025/02/05 3:10:34 da tarde GMT","24","Female","No musical training","Economics or Business","No","1","1","1","1","I generally don't listen to music without lyrics and imagine a story. I tend to just feel the music and maybe dance to it, but do not place any meaning on the notes themselves.","3","6","2","3","3","3","3",""
"2025/02/05 3:37:37 da tarde GMT","23","Female","No musical training","Economics or Business","Yes","5","4","3","5","I couldn’t picture the characters in detail, but it gave me a sense of happiness. It felt like a walk on the park with a lot of movement and people talking and laughing","2","5","2","4","4","5","4",""
"2025/02/05 4:47:32 da tarde GMT","22","Female","No musical training","Engineering or Computer Science","Yes","4","3","5","3","I imagined a story that started with a person, a lively and happy person, walking. Someone else appeared and started to argue with the first person.","2","5","4","5","3","4","5",""
"2025/02/05 7:13:47 da tarde GMT","22","Male","Basic (some informal experience or less than 2 years of training)","Engineering or Computer Science","No","2","1","1","1","I didn't because of the context, I think. It's a 50 second music inside a google forms so it's hard to care enough to make a story (at least for me). Also because the song is piano only and feels particularly unninspired (don't mean to criticize whoever made it though). Regardless, I think music can guide us into thinking about certain things, enhance or change the emotion of a narrative, but I personally believe it doesn't really create a story. Hence maybe why I didn't think of one. It's the oposite of a book in that sense. It's more about what each person interprets. I think a lot of people would think of a story though, and probably simmilar in form, but different in specifics. It's the same with body language I feel. Each people interprets an expression or gesture differently, but it's just one gesture, and it's only different in the minds of whoever interprets it. (sry about my copypasta, but I've though about this a bit and thought the topic was interesting) best of luck","1","1","","1","1","1","1","I kept thinking: ""when's the part where the wizard gives him a gift"", I kept waiting for the link opens a chest sfx, but it never came. Also, it really doesn't feel like it's a wizard testing a hero, more like going down the stairs after a long day. I think knowing what you'd intended didn't really help me understand the song, so maybe we're just bad at communicating with each other mr Francisco"
"2025/02/06 10:41:24 da manhã GMT","27","Female","Professional (music degree or professional experience)","Visual Arts, Music, or Design","Yes","6","6","3","5","A warm and sad story.","5","3","4","4","4","4","2","I think acts 1 and 2 are in line, but act 3, ‘Hero uses gift to defeat dragon’, is not reflected."
"2025/02/06 10:45:10 da manhã GMT","30","Female","Professional (music degree or professional experience)","Engineering or Computer Science","No","4","3","3","4","I usually don't imagine stories while listening to music. I do it on creation or in specific music that is related to specific stories, but not on listening.","4","4","3","2","2","2","2",""
"2025/02/06 10:52:28 da manhã GMT","27","Female","Professional (music degree or professional experience)","Visual Arts, Music, or Design","Yes","5","5","3","5","A warm and sad story","5","4","4","4","4","4","2","I think acts 1 and 2 are in line, but act 3, ‘Hero uses gift to defeat dragon’, is not reflected."
"2025/02/06 11:11:26 da manhã GMT","33","Male","Basic (some informal experience or less than 2 years of training)","Engineering or Computer Science","No","2","2","2","2","Maybe because I was a little distracted? However, I may have imagined something after, by re-listening to it. Makes me wonder about castles and knights, however I can't define a precise story.","3","3","4","4","3","4","4","The first part was well represented. The second one also, I liked a repeated musical phrase that I associated with the gift. The last section was a little bit less representative of the narrative in my opinion."
"2025/02/06 11:50:24 da manhã GMT","31","Male","No musical training","Engineering or Computer Science","Yes","5","4","3","5","We were at a concert, sitting back and enjoying the performance as the pianist played on stage. My partner and I felt truly happy.","4","4","2","5","5","5","5",""
"2025/02/06 11:59:34 da manhã GMT","24","Male","No musical training","Engineering or Computer Science","Yes","4","6","1","6","There is a person dressed in black playing the piano in a minimalist white room. He becomes increasingly happy as he plays the piano.","3","6","2","3","5","4","6",""
"2025/02/06 12:08:21 da tarde GMT","23","Male","Basic (some informal experience or less than 2 years of training)","Visual Arts, Music, or Design","No","2","1","1","4","The composition was too erratic; also, the fact that it was just one instrument made it feel flat.","4","1","3","1","1","1","1",""
"2025/02/06 12:20:40 da tarde GMT","28","Other","No musical training","Visual Arts, Music, or Design","No","1","1","1","1","It's not something I have the habit of doing while listening to instrumental music. If I'm asked to I can probably try to imagine some narrative going on, but it's not something I will do just for doing. Since the instructions just said listen, I just listened without focusing on creating stories ","5","6","","1","1","2","2",""
"2025/02/06 1:03:34 da tarde GMT","21","Female","Advanced (more than 5 years of formal training)","Engineering or Computer Science","No","3","2","5","1","As a pianist, I was just listening to the music because it was a piano. After I found out that I was suposed to imagine a story, I saw a rabbit jumping in the Woods like in the cartoons.","1","5","1","3","3","3","3",""
"2025/02/06 1:15:23 da tarde GMT","26","Male","Basic (some informal experience or less than 2 years of training)","Literature, Theater, or Media","No","2","1","3","2","It does point to some developing emotional narrations, or rather, it does hint a plot, but it is not necessarily linked to a story to be told","4","1","6","6","4","5","4","it seems that the music doesn't terminate properly as the story told"
